name,score_sm,score_md,score_lg,score_trf
"!iflow, ltd.",0.0,0.0,0.0,0.7777777777777778
- digitom -,0.0,0.0,0.3076923076923077,0.15384615384615385
.net professional,0.0,0.0,0.0,0.7272727272727273
0-one,0.0,1.0,0.25,0.75
3dtracking,0.26666666666666666,0.8666666666666667,0.4,0.8666666666666667
99x technology,0.0,0.13333333333333333,0.0,0.8666666666666667
a prop sistemes d'informació,0.0,0.0,0.0,0.3333333333333333
ab consulting,0.5,0.8888888888888888,0.9444444444444444,0.7777777777777778
abacus consulting,0.0,0.0,1.0,1.0
abarca health llc,0.0,0.9090909090909091,0.9090909090909091,0.9090909090909091
abc web services inc.,0.8571428571428571,1.0,1.0,1.0
ability,0.0,0.0,0.0,0.6666666666666666
accent electronic,0.058823529411764705,0.0,0.058823529411764705,0.7647058823529411
accenture,0.0,0.46153846153846156,0.9230769230769231,0.6923076923076923
accenture italia,0.0,0.9090909090909091,0.9090909090909091,0.7272727272727273
accesskenya,0.6,0.06666666666666667,0.06666666666666667,1.0
acleda bank lao ltd.,0.0,0.0,0.7692307692307693,0.9230769230769231
acs curaçao,0.47058823529411764,0.23529411764705882,0.5294117647058824,0.8235294117647058
adama university,0.75,0.75,0.8333333333333334,0.75
adaptech.me,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.6428571428571429
adexus,0.14285714285714285,0.7142857142857143,0.7142857142857143,1.0
admi france,0.125,0.75,0.875,0.75
"advanced intellectual methods, inc",0.0,0.0,0.0,0.2777777777777778
advania,0.16666666666666666,0.0,0.0,0.8333333333333334
afb,0.1111111111111111,1.0,1.0,1.0
africa tracing,0.0,0.0,0.1111111111111111,0.8888888888888888
afrogeo (geosystems swaziland),0.0,0.0,0.0,0.0
agence nationale des infrastructures numériques et des fréquences (aninf),0.0,0.0,0.0,0.1111111111111111
agente,0.25,0.5,0.625,0.625
agol business srl,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.7777777777777778
aitek,0.0,0.0,0.1,0.9
akendewa,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.6923076923076923
al-faisaliah group (jsc),0.0,0.0,0.0,0.2857142857142857
alalamiah technology group,0.09090909090909091,0.09090909090909091,0.0,0.5454545454545454
alaress,0.0,0.125,0.125,1.0
alexandria,0.0,0.4166666666666667,0.16666666666666666,0.75
alexandria university,0.5,0.6666666666666666,0.8333333333333334,1.0
algar tech,0.0,0.5555555555555556,0.6666666666666666,0.4444444444444444
alibaba group,0.0,0.1111111111111111,0.5555555555555556,0.5555555555555556
aljazeerajobs.com,0.1,0.1,0.1,0.5
almaviva s.p.a.,0.5,0.0,0.0,0.7
almoayed group,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.7142857142857143
almoayyed computers,0.07692307692307693,0.38461538461538464,0.3076923076923077,0.7692307692307693
alnafitha international for information technology,0.125,0.625,0.625,0.75
altair technologies ltd.,0.5454545454545454,0.7272727272727273,0.7272727272727273,0.8181818181818182
altech isis,0.0,0.4,0.0,0.9
alternative solutions limited,0.0,0.125,0.0,0.375
amadeus it group,0.0,0.0,0.0,0.6
amaris,0.0,0.0,0.0,0.7647058823529411
ambika,0.0,0.0,0.8666666666666667,0.9333333333333333
amplexor international,0.7857142857142857,0.5,0.21428571428571427,0.9285714285714286
andersen,0.0,0.6,0.6,0.9
andes development,0.125,0.125,0.125,0.375
andorsoft,0.05555555555555555,0.6666666666666666,0.7222222222222222,1.0
anglo african ltd,0.8461538461538461,0.9230769230769231,0.9230769230769231,0.9230769230769231
antier solutions pvt. ltd (antech),0.0,0.0,0.0,0.21428571428571427
any technologies,0.0,0.0,0.0,0.5555555555555556
aos ltd,0.5333333333333333,0.8,0.7333333333333333,0.8
appen,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.9285714285714286
applaudo studios,0.0,0.6,0.0,1.0
arhd consultancy limited,0.0,0.0,0.0,0.6666666666666666
arkan security,0.0,0.0,0.875,1.0
arlan si ltd,0.5,0.5,1.0,1.0
arnaldo c. castro s.a.,1.0,0.8666666666666667,0.7333333333333333,0.5333333333333333
arums,0.0,0.6875,0.125,0.8125
aryahamrah co. (ahs),0.0,0.0,0.0,0.16666666666666666
asas telecom & it solutions,0.0,0.0,0.0,0.6363636363636364
asbis,0.0,0.0,0.23076923076923078,0.8461538461538461
ascend corporation,0.0,0.0,0.0,0.3333333333333333
asiatech co,0.1,0.1,0.1,1.0
asl,0.1111111111111111,0.0,0.0,0.8888888888888888
asseco south eastern europe,0.2,0.7333333333333333,0.6666666666666666,0.6
asset technology group,0.0,0.0,0.0,0.07142857142857142
assistec,0.09090909090909091,0.45454545454545453,0.7272727272727273,0.8181818181818182
asters (pvt) ltd,0.0,0.0,0.0,1.0
at consulting,0.0,0.0,0.0,0.4444444444444444
atea,0.0,0.2222222222222222,0.8888888888888888,1.0
atea danmark,0.5454545454545454,0.7272727272727273,0.9090909090909091,0.8181818181818182
atea global services ltd.,0.0,0.3333333333333333,0.7333333333333333,0.9333333333333333
atea sverige ab,0.0,1.0,1.0,1.0
atl info tech,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.7272727272727273
atos,0.18181818181818182,0.8181818181818182,0.9090909090909091,0.6363636363636364
atos it solutions and services a/s,0.0,0.0,0.0,0.0
attractor software llc,0.0,0.7,0.85,0.55
authentic group,0.0,0.0,0.0,0.6666666666666666
autocont cz a. s.,0.0,0.5384615384615384,0.23076923076923078,0.38461538461538464
autoridad de acueductos y alcantarillados de pr,0.0,0.0625,0.625,0.375
autoridad nacional para la innovación gubernamental,0.0,0.5,0.125,0.5
autorité de régulation de la poste et des télecommunications,0.0,0.7,0.6,0.7
auxitec industrie,0.15384615384615385,0.7692307692307693,0.6923076923076923,0.8461538461538461
avesta group,0.0,0.6363636363636364,0.5454545454545454,0.5454545454545454
axact,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.5714285714285714
axatech,0.18181818181818182,0.7272727272727273,0.36363636363636365,0.9090909090909091
axiom networks rwanda ltd.,0.5,0.7,0.7,0.6
azel,0.0,1.0,0.6666666666666666,0.75
azry,0.38461538461538464,0.07692307692307693,0.38461538461538464,0.6923076923076923
b2be,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.5454545454545454
bahamas business solutions ltd.,0.3333333333333333,0.5,0.3333333333333333,0.8333333333333334
bahwan it,0.0,0.0,0.0,0.4444444444444444
banan it,0.0,0.0,0.25,0.5
baobab health trust,0.5,0.5625,0.8125,0.625
barclays group operations lithuania,0.6,0.0,0.2,0.8
bass systems srl,0.0,0.0,0.6,0.8666666666666667
bayer business services,0.625,0.875,1.0,0.75
bcc,0.0,0.9090909090909091,0.9090909090909091,0.9090909090909091
bdo mongolia,0.8461538461538461,1.0,1.0,1.0
bearingpoint caribbean,0.5833333333333334,0.8333333333333334,0.75,0.6666666666666666
beat,0.0,0.18181818181818182,0.0,0.6363636363636364
bec,0.16666666666666666,0.5,0.0,0.8333333333333334
belcash technology solutions plc,0.0,0.4375,0.0625,0.9375
bestcomp group,0.3333333333333333,0.0,0.0,0.25
bgh s.a.,0.3333333333333333,0.7777777777777778,0.8888888888888888,0.5555555555555556
bidss technology,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.4666666666666667
bidvest namibia information technology (pty) ltd,0.0,0.0,0.0,1.0
bild studio,0.4,0.8,0.4,0.6
bilge adam,0.23076923076923078,0.38461538461538464,0.3076923076923077,0.5384615384615384
billet express,0.0,0.21428571428571427,0.0,0.8571428571428571
bit,0.0,0.0,0.0,0.6470588235294118
bitsapphire,0.0,0.0,0.08333333333333333,0.9166666666666666
bitz it consulting somaliland,0.0,0.0,0.0,0.3333333333333333
biznet networks (pt. supra primatama nusantara),0.0,0.0,0.0,0.25
bmb,0.35714285714285715,0.6428571428571429,0.7142857142857143,0.9285714285714286
boardware information system limited,0.0,0.0,0.0,0.4
bond on blockchain,0.0,0.0,0.0,0.46153846153846156
bongohive technology and innovation hub,0.0,0.0,0.0,0.25
bouvet asa,0.0,0.9230769230769231,0.7692307692307693,0.6923076923076923
braindigit it solution,0.0,0.0,0.0,0.5384615384615384
brilliant solutions co. ltd,0.5333333333333333,0.2,0.7333333333333333,0.8
brq,0.14285714285714285,0.0,0.0,0.8571428571428571
bs-gabon,0.0,0.0,0.9230769230769231,0.8461538461538461
bulpros,0.0,0.0,0.1111111111111111,1.0
burotop iris s.a. (former name etimco group),0.0,0.0,0.0,0.0
business applications solutions,0.0,0.0,0.0,0.125
business connexion,0.09090909090909091,0.0,0.09090909090909091,0.2727272727272727
busyinternet,0.0,0.0,0.0,1.0
bynet,0.0,0.1111111111111111,0.0,0.8888888888888888
byxpress,0.0,0.3076923076923077,0.6153846153846154,0.9230769230769231
c transport maritime s.a.m.,0.0,0.0,0.0,0.09090909090909091
c.t.co,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.7777777777777778
c2i karaibes,0.0,0.1111111111111111,0.1111111111111111,0.8888888888888888
cacttus,0.0,0.0,0.0,0.625
calligo,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.8571428571428571
camtrack,0.4,0.6,0.7,0.9
cantv telecomunicaciones,0.0,0.16666666666666666,0.0,0.8333333333333334
capa tres srl,0.09090909090909091,0.9090909090909091,0.9090909090909091,1.0
capgemini,0.0,0.2,0.1,0.9
careem,0.0,0.16666666666666666,0.3333333333333333,0.9166666666666666
caribbean transit solutions,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.6666666666666666
cartophyl,0.25,0.3125,0.1875,0.625
carvajal tecnología y servicios,0.3076923076923077,0.8461538461538461,0.9230769230769231,0.5384615384615384
cbi,0.5555555555555556,0.7777777777777778,0.4444444444444444,0.8888888888888888
ccc,0.0,0.75,0.625,0.75
ccs group ltd.,0.6363636363636364,0.8181818181818182,0.7272727272727273,1.0
cedacri international,0.6153846153846154,0.6153846153846154,0.6923076923076923,1.0
cegeka,0.0,0.0,0.125,0.875
celfocus,0.0,0.09090909090909091,0.5454545454545454,0.8181818181818182
central it - governança corporativa,0.0,0.0,0.0,0.45454545454545453
centria s.a. - csc grupo breca,0.0,0.15384615384615385,0.0,0.07692307692307693
centric,0.08333333333333333,0.4166666666666667,0.25,0.5
centro nacional de calidad de software (calisoft),0.0,0.0,0.0,0.0625
ceridian mauritius,0.125,0.875,0.875,0.5
cfao technologies,0.4166666666666667,0.5,0.3333333333333333,0.9166666666666666
cgi,0.0,0.08333333333333333,0.5,0.9166666666666666
chambishi metals plc,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231
cinetica,0.0,0.16666666666666666,0.3333333333333333,1.0
claserna,0.5,0.3333333333333333,0.16666666666666666,1.0
cleverlance,0.0,0.07142857142857142,0.07142857142857142,0.8571428571428571
cloud montenegro d.o.o.,0.0,0.0,0.0,0.5833333333333334
cloudfactory.,0.0,0.0,0.0,0.07142857142857142
cntig,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.8888888888888888
cobiscorp,0.5333333333333333,0.13333333333333333,0.4,0.9333333333333333
cofimática – consultoria informática e financeira,0.0,0.0,0.0,0.5
cognizant technology solutions,0.0,0.0,0.0,0.09090909090909091
colibri. it-innovations,0.0,0.0,0.0,0.21428571428571427
combitech sverige,0.0,0.625,0.75,0.875
comby a/s,0.0,0.6666666666666666,0.1111111111111111,0.5555555555555556
complete enterprise solutions namibia (pty) ltd,0.0,0.0,0.0,0.5294117647058824
complete solutions n.v.,0.0,0.0,0.0,0.5555555555555556
compulearn caribbean,0.14285714285714285,0.7857142857142857,1.0,0.9285714285714286
computacenter,0.5714285714285714,0.14285714285714285,0.21428571428571427,0.6428571428571429
computer business solutions,0.0,0.1,0.0,0.3
computer centre tanzania ltd.,0.0,0.6363636363636364,0.0,0.2727272727272727
computer warehouse group plc,0.0,0.0,0.0,0.3333333333333333
computer world wll,0.0,0.0,0.0,0.3
computime limited,0.0,0.5,0.0,0.6
comtel integrators africa,0.4,0.3,1.0,0.8
comtrade group,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.7692307692307693
comtrade system integration,0.0,0.0,0.0,0.5
comunicaciones globales,0.0,0.5,0.375,0.75
comware s.a.,0.5384615384615384,0.6153846153846154,0.15384615384615385,0.46153846153846156
"consultores empresariales, nicaragua",0.0,0.08333333333333333,0.0,0.08333333333333333
continent 8 technologies,0.0,0.0,0.0,0.5454545454545454
core systems global,0.0,0.0,0.0,0.7
corporacion favorita c.a.,0.0,0.6,0.2,0.4
corpreloaded,0.0,0.1111111111111111,0.0,0.6666666666666666
cosapi data,0.0,0.0,0.0,0.6153846153846154
craft silicon ltd,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571
crea,0.0,0.1111111111111111,0.0,0.6666666666666666
creola voyage,0.0,0.0,0.0,0.7692307692307693
croc,0.07142857142857142,0.07142857142857142,0.0,0.5714285714285714
crypto20,0.9,0.5,0.6,1.0
csi africa group ltd,0.0,1.0,1.0,0.9090909090909091
ctrip.com,0.0,0.0,0.0,0.8
custom it consulting (pty) ltd,0.0,0.0,0.0,0.46153846153846156
cvp sarl,0.36363636363636365,0.9090909090909091,1.0,0.7272727272727273
cybercom group,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.35714285714285715
cyberlogitec,0.29411764705882354,0.4117647058823529,0.6470588235294118,0.7647058823529411
cybernet llc,0.0,0.75,0.125,1.0
d+h,0.07692307692307693,0.3076923076923077,0.0,0.6153846153846154
daac system integrator,0.0,0.09090909090909091,0.09090909090909091,0.36363636363636365
"dada dada y cia, s.a. de c.v.",0.0,0.0,0.0,0.16666666666666666
datacom,0.0,0.0,0.0,0.3333333333333333
datalab s.a.,0.625,0.75,0.0,0.5
datanet,0.38461538461538464,0.15384615384615385,0.0,0.6153846153846154
datapro computer systems,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.5833333333333334
dataservice,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.7142857142857143
datasoft systems bangladesh limited,0.0,0.8571428571428571,0.42857142857142855,0.5
datasur nv,0.5,0.3333333333333333,0.5,0.5
datavision international,0.6363636363636364,0.6363636363636364,0.18181818181818182,0.8181818181818182
datec png limited,0.0,0.1,0.0,0.8
datys,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.8571428571428571
daycohost,0.0,0.25,0.5833333333333334,0.8333333333333334
dcdm consulting,0.0,0.0,0.06666666666666667,0.4
decenternet,0.0,0.0,0.0,0.6666666666666666
delaware belux,0.1,0.0,0.2,0.6
dell,0.1111111111111111,0.5555555555555556,0.8888888888888888,0.8888888888888888
development bank of ethiopia,0.5,0.5,0.6,0.7
developmentaid,0.0,0.125,0.75,1.0
dhamar university,0.3333333333333333,0.7777777777777778,0.8888888888888888,1.0
digi-data systems limited,0.0,0.0,0.1,0.6
digia plc,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.9230769230769231
digitain holding limited,0.0,0.0,0.0,0.7647058823529411
dimension data,0.15384615384615385,0.46153846153846156,0.15384615384615385,0.6153846153846154
division of audiovisuals pvt ltd,0.0,0.0,0.0,0.3076923076923077
diyar united company,0.0,0.6,0.9,0.5
domicilium,0.0,0.16666666666666666,0.0,0.5555555555555556
dpa,0.0,0.875,0.0,0.8125
dynaset,0.25,0.0,0.16666666666666666,0.8333333333333334
e-capafrica,0.2222222222222222,0.0,0.0,0.6666666666666666
e-commerce center,0.0,0.0,0.1111111111111111,0.0
earthlink telecommunication,0.0,0.2857142857142857,0.42857142857142855,0.7142857142857143
eastera co. ltd.,0.4444444444444444,0.7777777777777778,0.7777777777777778,1.0
easytech gabon,0.4166666666666667,0.75,0.75,0.8333333333333334
ebttikar,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.9090909090909091
ecomax,0.08333333333333333,0.08333333333333333,0.0,0.8333333333333334
