name,score_sm,score_md,score_lg,score_trf
Aaliyah,0.8920112404656765,1.0,1.0,0.9747089522280209
Abdullah,1.0,1.0,1.0,0.9955555555555555
Adam,0.06664006384676775,0.034317637669592976,0.01157222665602554,0.8547486033519553
Ahmad,0.9991899554475496,1.0,0.9995949777237748,0.9935196435803969
Ahmed,0.966495861253449,1.0,0.9984233346472211,0.9968466692944422
Alan,1.0,1.0,1.0,0.9815261044176706
Alejandro,0.13088177145116647,1.0,1.0,0.9920917358639778
Ali,1.0,1.0,1.0,0.9943434343434343
Alonzo,0.3738163853437629,1.0,1.0,0.9510086455331412
Alphonse,0.006919006919006919,0.9238909238909239,0.8783068783068783,0.7553927553927554
Alya,0.0016611295681063123,0.9962624584717608,0.9995847176079734,0.9700996677740864
Amanda,0.9029088050314465,1.0,1.0,0.9929245283018868
Ana,0.01800327332242226,1.0,0.8743862520458265,0.9824058919803601
Andrew,0.4311377245508982,0.61437125748503,0.417564870259481,0.9085828343313374
Ayaan,0.9251618122977346,0.9987864077669902,0.9785598705501618,0.9963592233009708
Ayesha,0.11067193675889328,0.9241106719367589,0.17707509881422925,0.9122529644268774
Betsy,1.0,1.0,0.9996003197442046,0.9756195043964828
Brad,0.9995857497928748,1.0,1.0,0.9991714995857498
Camila,0.28701504354711005,1.0,1.0,0.9920823436262867
Colleen,0.8499587798845837,1.0,1.0,0.9760923330585326
Courtney,0.9513292433537832,1.0,1.0,0.9934560327198364
Daniel,0.31020239570425445,0.47996695580338705,0.7971912432878976,0.8963238331268071
Darnell,0.601907032181168,1.0,1.0,0.9753675009932459
Deion,0.07990506329113924,0.5340189873417721,0.9204905063291139,0.8912183544303798
Diego,0.5640923566878981,0.9996019108280255,1.0,0.9976114649681529
Ebony,0.5088383838383839,0.0,0.09932659932659933,0.6957070707070707
Elena,0.662227602905569,0.9903147699757869,0.986682808716707,0.9697336561743342
Ellen,0.9987844408427877,1.0,0.9967585089141004,0.9886547811993517
Emily,0.4351851851851852,0.9975845410628019,0.9947665056360708,0.9681964573268921
Fatima,1.0,1.0,1.0,0.997557003257329
Frank,0.999601593625498,0.9976095617529881,0.9936254980079682,0.9896414342629483
Greg,0.9878147847278635,0.9983753046303818,0.9744110479285134,0.6092607636068237
Hamza,0.4889068172650262,0.9955627269060104,0.9987898346107301,0.9814441306978621
Harry,0.9995936611133686,0.9910605444941081,0.9951239333604226,0.9926859000406338
Heather,0.1029874213836478,0.9921383647798742,0.9194182389937107,0.9944968553459119
Isabella,0.998417095370004,1.0,1.0,0.7700831024930748
Jack,1.0,1.0,0.9995913363302003,0.9795668165100122
Jamel,0.9889253486464314,1.0,1.0,0.9770303527481542
Jana,1.0,1.0,1.0,0.9858127280097284
Jasmine,0.9956744003145891,0.9996067636649626,0.9984270546598506,0.9366889500589854
Jerome,0.4569672131147541,1.0,0.9979508196721312,0.7389344262295082
Jorge,0.8268847227762266,1.0,0.9960111687275628,0.9968089349820503
Jose,0.9898198903680501,0.9988253719655442,1.0,0.9972592012529365
Josh,1.0,1.0,0.9991971095945403,0.9566439181051787
Juan,0.9367720465890182,0.9912645590682196,0.9987520798668885,0.9829450915141431
Juana,0.9483245861929753,0.9991925716592652,0.9995962858296327,0.9781994348001615
Justin,1.0,1.0,1.0,0.9790969899665551
Katie,0.9827450980392157,1.0,0.9972549019607844,1.0
Kristin,1.0,0.9995896594173164,0.9995896594173164,0.9917931883463275
Lakisha,0.6875763747454176,0.8806517311608961,0.8562118126272913,0.9242362525458249
Lamar,0.853508411981945,1.0,0.9995896594173164,1.0
Lamont,0.7008821170809943,1.0,1.0,0.9659182036888533
Latisha,0.44627766599597585,0.14245472837022133,0.999195171026157,0.9818913480885312
Latoya,0.662405113863364,0.9900119856172593,1.0,0.9988014382740711
Lauren,0.6583747927031509,0.9465174129353234,1.0,0.9995854063018242
Leroy,0.2835760517799353,1.0,1.0,0.9688511326860841
Lian,0.8308255388369256,0.9808865392435949,0.9995933306222041,0.9987799918666125
Lionel,0.8724095895977245,0.9183258837870785,1.0,0.9857781389678992
Luciana,0.9979338842975206,0.9987603305785124,0.9991735537190083,0.990909090909091
Luis,0.9951593384429205,0.990722065348931,0.9943525615167407,1.0
Luisa,0.9808688720605819,1.0,1.0,0.9904344360302909
Malak,0.3257394084732214,0.9992006394884093,0.043565147881694646,0.9884092725819345
Malik,0.980327868852459,0.9918032786885246,0.9995901639344262,1.0
Malika,0.9939710610932476,0.9839228295819936,0.9827170418006431,0.9919614147909968
Maria,0.9979432332373509,0.9921842863019333,0.9995886466474702,0.9551624845742492
Mariam,1.0,0.9991806636624334,0.9995903318312167,0.9475624743957395
Mariana,0.9992150706436421,0.999607535321821,0.9992150706436421,0.9929356357927787
Martina,0.9804670912951168,0.9825902335456476,1.0,0.9876857749469214
Maryam,0.958198051948052,1.0,1.0,0.8161525974025974
Mateo,1.0,1.0,0.9995913363302003,0.998365345320801
Matias,0.40186915887850466,1.0,0.9991873222267371,0.9126371393742381
Matthew,0.16375727348295926,0.7963424771404821,0.9152119700748129,0.670407315045719
Megan,0.5917039446929646,1.0,0.9995933306222041,0.9930866205774705
Melanie,1.0,1.0,1.0,0.999185667752443
Miguel,0.3059250302297461,0.9987908101571947,0.9854897218863361,0.9931479242241031
Mohammed,0.9623165410551369,0.9944466481554939,0.9615232050773502,1.0
Nancy,0.43286573146292584,0.4276553106212425,0.9979959919839679,0.9571142284569139
Nichelle,0.9964483030781374,1.0,1.0,0.9936858721389108
Nicolas,1.0,1.0,0.9983235540653814,0.9237217099748533
Nishelle,0.9939049167005283,1.0,1.0,0.9809020723283218
Nour,0.9936127744510979,1.0,0.9800399201596807,0.9772455089820359
Omar,0.999185667752443,0.999185667752443,1.0,0.999185667752443
Paul,0.5344064386317907,0.22857142857142856,0.0869215291750503,0.7026156941649899
Rachel,0.7135941912061315,0.9963695038321904,0.9935457845905608,0.9427188382412263
Rayyan,0.9996084573218481,0.6613155833985904,0.01840250587314017,0.9894283476898982
Rishaan,0.8085192697768763,0.3306288032454361,0.611764705882353,0.9780933062880325
Roger,0.9923572003218021,0.997586484312148,1.0,0.9770716009654062
Ryan,0.9095004095004094,0.9991809991809992,0.995085995085995,0.990990990990991
Salma,0.6686297605025521,1.0,0.9100903023164507,0.9850804868472713
Samar,0.6934189406099518,1.0,0.9887640449438202,0.9129213483146067
Samuel,0.04881952781112445,0.26770708283313327,0.27490996398559425,0.7430972388955582
Sana,0.9947495961227787,0.8723747980613893,0.9979806138933764,0.9967689822294022
Santiago,0.1008174386920981,0.9945504087193461,0.9848189957181783,0.9902685869988322
Sebastian,1.0,0.9980353634577603,1.0,0.9304518664047151
Shaista,0.5514092894005558,0.611750694720127,0.29217943628423976,0.9984120682810639
Shanice,0.4302279088364654,1.0,0.9960015993602559,0.9716113554578168
Shaniqua,0.9190992493744787,0.9015846538782318,0.4562135112593828,0.9178482068390326
Shereen,0.38330564784053156,0.9127906976744186,0.959717607973422,0.9941860465116279
Sofia,0.37183673469387757,0.983265306122449,1.0,0.96
Stephanie,0.9996014348345954,1.0,1.0,0.9948186528497409
Stephen,0.9713701431492843,0.5615541922290389,0.7378323108384458,0.7267893660531697
Syed,0.13361735089078233,1.0,0.9984508133230054,0.9852827265685515
Tanisha,0.3795737836751106,0.1712907117008444,0.9991958182549256,0.9437072778447929
Terrence,0.7156901297679905,1.0,1.0,0.9972473456547385
Theo,0.0754336425978217,0.9947559499798305,0.9842678499394917,0.9245663574021783
Tia,0.9017929910350448,0.980440097799511,0.9490627546862266,0.9955175224123879
Tomas,0.8080645161290323,1.0,0.9762096774193548,0.9850806451612903
Torrance,0.0093042071197411,1.0,0.9991909385113269,0.9906957928802589
Tyree,0.5576544667453759,1.0,0.9988193624557261,0.9173553719008265
