name,score_sm,score_md,score_lg,score_trf
Alexis,0.6858161648177497,0.9706814580031695,0.9948494453248812,0.9108557844690967
Amanda,0.8578016910069177,1.0,1.0,0.9869331283627979
Amber,0.06848249027237355,0.7552529182879377,0.9968871595330739,0.9797665369649805
Amy,0.11505791505791506,0.12625482625482626,0.5525096525096526,0.9776061776061776
Andrea,1.0,0.999208547685002,1.0,0.961218836565097
Andrew,0.4227738376674547,0.5977147360126084,0.4180457052797478,0.83451536643026
Angela,0.48182166092613854,0.7531572904707233,0.9628779181017987,0.9869881362418675
Anna,0.9709324273310683,1.0,0.9996224990562477,0.7693469233673084
Annie,0.358294930875576,0.9988479262672811,1.0,0.9516129032258065
Anthony,0.9548335974643423,1.0,1.0,0.8696513470681458
Ashley,0.3236404833836858,0.9841389728096677,0.8587613293051359,0.986404833836858
Barbara,0.9992072929052715,1.0,0.998414585810543,0.9948474038842647
Betty,0.993563044301401,0.9996213555471413,1.0,0.9560772434683832
Billy,0.9996224990562477,1.0,1.0,0.8237070592676482
Bobby,1.0,1.0,1.0,0.9954372623574145
Brandon,0.9992119779353822,1.0,1.0,0.9566587864460205
Brenda,1.0,1.0,1.0,0.9815720195562242
Brian,1.0,0.9973424449506454,1.0,0.9870918754745635
Carol,0.9884437596302003,1.0,1.0,0.985362095531587
Carolyn,1.0,0.9948124501197126,1.0,0.9748603351955307
Catherine,0.999603489294211,1.0,1.0,0.9468675654242664
Charles,0.7306818181818182,0.9992424242424243,0.9943181818181818,0.9003787878787879
Christine,0.9952718676122931,1.0,1.0,0.9468085106382979
Christopher,0.9988235294117647,1.0,1.0,0.9270588235294117
Cynthia,1.0,1.0,1.0,0.8407864302235929
Daniel,0.31409995936611135,0.46891507517269404,0.8004876066639578,0.8594067452255181
David,0.5684335443037974,0.771756329113924,0.8223892405063291,0.7824367088607594
Deborah,1.0,0.9996084573218481,1.0,0.9444009397024276
Donald,0.8248720975993703,0.9996064541519087,0.9988193624557261,0.9807162534435262
Donna,1.0,1.0,1.0,0.92829754601227
Dorothy,0.9977055449330784,1.0,0.9996175908221797,0.9739961759082219
Edward,0.8705564142194745,0.9594281298299846,0.9972952086553323,0.8346213292117465
Elizabeth,1.0,0.9996090695856138,1.0,0.828381548084441
Emily,0.39353312302839116,0.9968454258675079,0.9944794952681388,0.9459779179810726
Emma,0.9550018594272964,0.999256229081443,1.0,0.8869468203793232
Frances,0.1887657623232709,0.7875429881543753,0.9610240733664501,0.9732518150554069
Frank,0.9996,0.9972,0.996,0.9644
Gary,1.0,0.9957692307692307,1.0,0.9707692307692307
