name,score_sm,score_md,score_lg,score_trf
Abigail,0.9991431019708654,1.0,1.0,0.7630676949443016
Aiden,0.48748921484037966,0.6786022433132011,0.9844693701466781,0.9016393442622951
Alexander,0.6355498721227621,0.9953111679454391,1.0,0.8678601875532822
Alexis,0.7017691659646167,0.9759898904802022,0.9945240101095199,0.9157540016849199
Alice,0.6716917922948074,1.0,1.0,0.9543551088777219
Amanda,0.8935442496793502,1.0,1.0,0.9897392047883711
Amy,0.12363952982150632,0.13800609490639965,0.5607313887679582,0.9821506312581628
Andrew,0.42650918635170604,0.5923009623797025,0.4251968503937008,0.8608923884514436
Angela,0.5034217279726262,0.7929854576561164,0.9700598802395209,0.9871685201026519
Anna,0.977845351867941,1.0,0.9995655951346655,0.7693310165073849
Annie,0.378448275862069,1.0,1.0,0.9668103448275862
Anthony,0.9540700318326512,1.0,1.0,0.8999545247839927
Ashley,0.35552654482158397,0.983899042645779,0.8746736292428199,0.9930374238468234
Austin,1.0,1.0,1.0,0.9934469200524246
Ava,0.18366500829187396,1.0,0.9987562189054726,0.8913764510779436
Barbara,0.9995627459554001,0.9995627459554001,0.9973764757324005,0.9973764757324005
Bertha,0.9982698961937716,1.0,1.0,0.9710207612456747
Bessie,0.562444641275465,1.0,1.0,0.937555358724535
Betty,0.9964189794091316,1.0,1.0,0.9637421665174575
Brandon,0.9995709995709996,1.0,1.0,0.9751179751179752
Brian,1.0,0.998324958123953,0.9995812395309883,0.9920435510887772
Brittany,0.8536789297658863,1.0,0.9966555183946488,0.9803511705685619
Carol,0.9914929817099106,1.0,1.0,0.9897915780518928
Carolyn,1.0,0.9973821989528796,0.9982547993019197,0.9794938917975567
Charles,0.7573275862068966,1.0,0.9926724137931034,0.9137931034482759
Charlotte,1.0,1.0,1.0,0.9484887186036611
Chloe,0.607550482879719,0.19315188762071994,0.24100087796312555,0.9973661106233538
Christopher,0.9987261146496815,1.0,1.0,0.9299363057324841
Clara,0.9923501912452188,1.0,1.0,0.9864003399915002
Crystal,0.9644580956559895,0.8021061869240895,0.9872751206669592,0.9069767441860465
Cynthia,1.0,1.0,1.0,0.8316788951230039
Daniel,0.3262077811030355,0.49123557075673363,0.8063274903805044,0.8824283882000855
David,0.5796976241900648,0.7956803455723542,0.8319654427645788,0.7935205183585313
Deborah,1.0,1.0,1.0,0.9585749792874897
Debra,0.19406196213425128,0.7641996557659209,0.7719449225473322,0.995697074010327
Donald,0.8473998294970162,1.0,1.0,0.9880647911338448
Donna,1.0,1.0,1.0,0.9370146678170836
