name,score_sm,score_md,score_lg,score_trf
A Coruña,0.125,0.109375,0.078125,0.875
Abertawe,0.578125,0.421875,0.46875,0.953125
Abovyan,0.984375,0.640625,0.96875,0.953125
Abuja,0.765625,0.96875,0.984375,0.96875
Acajutla,0.859375,0.75,0.953125,0.96875
Adana,0.9375,0.984375,1.0,0.953125
Adelaide,0.3125,0.984375,1.0,0.9375
Agadez,0.53125,0.5625,0.46875,0.953125
Agadir,1.0,1.0,0.984375,0.96875
Ahmedabad,0.296875,1.0,1.0,0.96875
Ahuachapán,0.421875,0.96875,0.921875,0.953125
Ahvāz,0.53125,0.875,0.984375,0.953125
Al Manşūrah,1.0,0.96875,1.0,0.9375
Al Maḩallah al Kubrá,1.0,0.984375,1.0,0.953125
Al Qāmishlī,0.984375,0.984375,1.0,0.96875
Al Ḩasakah,1.0,0.875,0.96875,0.875
Aleppo,0.046875,0.984375,0.984375,0.96875
Algiers,0.5625,1.0,1.0,0.96875
Alicante,0.421875,0.984375,0.984375,0.96875
Almada,0.59375,0.546875,0.71875,0.953125
Almaty,0.90625,1.0,0.984375,0.96875
Almere,0.140625,0.453125,0.859375,0.953125
Alytus,0.421875,0.78125,0.859375,0.953125
Amadora,1.0,0.609375,0.984375,0.953125
Ambato,0.9375,0.984375,0.984375,0.953125
Anderlecht,0.96875,0.96875,1.0,0.96875
Andijon,0.96875,0.828125,0.484375,0.953125
Ankara,0.984375,1.0,0.984375,0.984375
Annaba,0.984375,0.984375,0.984375,0.96875
Antalya,0.984375,0.984375,0.984375,0.953125
Antipolo,0.9375,0.9375,0.96875,0.96875
Antofagasta,0.921875,0.8125,0.625,0.921875
Antwerp,0.984375,1.0,0.984375,0.9375
Apeldoorn,0.859375,1.0,0.890625,0.953125
Apopa,0.9375,0.21875,0.90625,0.953125
Aqtöbe,0.5625,0.953125,0.796875,0.953125
Ar Raqqah,0.84375,0.78125,0.984375,0.953125
Arequipa,0.328125,1.0,1.0,0.953125
Ariana,0.90625,0.953125,0.984375,0.953125
Arlit,0.953125,0.984375,0.984375,0.9375
Arnhem,0.96875,1.0,1.0,0.96875
Arroyo Naranjo,0.953125,1.0,1.0,0.953125
Arua,0.78125,0.953125,0.984375,0.953125
Arusha,0.171875,0.828125,0.984375,0.953125
Ashdod,0.4375,0.328125,0.875,0.953125
Asker,0.375,0.0625,0.0625,0.953125
Asyūţ,0.984375,1.0,1.0,0.953125
Attard,0.8125,0.515625,0.96875,0.921875
Auckland,0.984375,0.984375,1.0,0.9375
Ayorou,0.984375,0.96875,0.984375,0.96875
Babruysk,0.4375,0.984375,0.984375,0.96875
Bahía Blanca,0.65625,0.984375,1.0,0.984375
Baku,0.890625,0.984375,0.984375,0.96875
Baltimore,0.96875,1.0,0.984375,0.96875
Ban Bang Pu Mai,0.390625,0.015625,0.03125,0.96875
Bandung,0.859375,0.953125,0.984375,0.953125
Bangalore,0.515625,1.0,1.0,0.953125
Bangkok,1.0,1.0,0.96875,0.984375
Banská Bystrica,0.890625,0.640625,1.0,0.96875
Baoding,0.234375,0.859375,1.0,0.921875
Baranavichy,0.203125,0.453125,0.96875,0.984375
Bari,0.96875,0.984375,0.984375,0.984375
Barquisimeto,0.96875,0.984375,1.0,0.984375
Barranquilla,0.984375,1.0,0.984375,0.9375
Basel,0.46875,1.0,0.984375,0.953125
Batna,0.5,1.0,0.578125,0.96875
Bayamo,0.984375,0.96875,0.9375,0.96875
Beersheba,0.765625,0.359375,0.59375,0.9375
Beijing,1.0,0.984375,0.984375,0.921875
Bekasi,0.984375,0.984375,0.984375,0.96875
Belas,0.375,0.28125,0.171875,0.96875
Bellinzona,0.984375,0.984375,0.984375,0.953125
Belo Horizonte,1.0,0.96875,1.0,0.984375
Bender,0.5,0.96875,1.0,0.96875
Beni,0.859375,0.9375,0.859375,0.96875
Benin City,1.0,1.0,1.0,0.984375
Bené Beraq,0.9375,0.90625,1.0,0.953125
Berat,0.921875,0.6875,0.984375,0.96875
Białystok,0.5,0.53125,0.453125,0.953125
Biel/Bienne,0.53125,0.5625,0.8125,0.90625
Bilbao,0.984375,1.0,0.984375,0.96875
Birkirkara,0.921875,0.984375,0.984375,0.984375
Birnin Konni,0.984375,1.0,1.0,0.953125
Biskra,0.90625,0.515625,0.8125,0.9375
Bitola,0.734375,0.4375,0.703125,0.96875
Bizerte,0.375,0.4375,0.890625,0.96875
Biên Hòa,0.8125,0.96875,0.890625,0.953125
Blida,0.96875,0.984375,0.984375,0.953125
Bogotá,0.984375,0.96875,0.984375,0.96875
Bologna,1.0,0.84375,0.46875,0.9375
Bombo,0.359375,0.546875,0.359375,0.953125
Braga,0.921875,0.984375,0.984375,0.96875
Brampton,0.96875,0.984375,1.0,0.96875
Brasília,0.90625,0.203125,0.96875,0.96875
Bratislava,0.5625,1.0,0.984375,0.96875
Braşov,0.484375,0.09375,0.484375,0.96875
Breda,0.859375,1.0,0.984375,0.9375
Bregenz,0.984375,1.0,0.28125,0.96875
Brescia,0.90625,1.0,0.984375,0.953125
Brisbane,0.96875,1.0,0.984375,0.9375
Brno,0.390625,0.96875,0.984375,0.953125
Brussels,0.984375,1.0,1.0,0.953125
Bucaramanga,0.96875,1.0,0.984375,0.96875
Bucharest,0.515625,0.984375,0.984375,0.953125
Budapest,0.640625,0.96875,0.984375,0.96875
Bukavu,1.0,0.984375,0.984375,0.984375
Bukhara,0.984375,0.984375,0.984375,0.96875
Burgas,0.953125,0.984375,0.984375,0.96875
Bursa,0.921875,0.796875,0.84375,0.953125
Busan,0.921875,0.953125,0.96875,0.984375
Bydgoszcz,0.859375,1.0,0.984375,0.96875
Bălţi,0.40625,0.921875,0.21875,0.921875
Bắc Ninh,0.96875,0.96875,0.890625,0.890625
Cabimas,0.5625,0.96875,0.953125,0.984375
Cabinda,0.96875,0.875,0.984375,0.96875
Caerdydd,0.40625,0.984375,0.84375,0.96875
Cagayan de Oro,0.96875,0.984375,0.984375,0.984375
Cahul,0.90625,0.921875,0.84375,0.984375
Cairns,0.96875,0.96875,0.9375,0.96875
Calgary,0.96875,1.0,1.0,0.984375
Cali,0.984375,0.984375,0.984375,0.96875
Callao,0.9375,0.984375,0.984375,0.953125
Caloocan City,1.0,1.0,1.0,0.984375
Camagüey,0.875,0.75,0.984375,0.96875
Canberra,0.59375,0.953125,0.984375,0.984375
Cape Town,0.921875,0.984375,0.96875,1.0
Caracas,0.921875,0.984375,0.984375,0.984375
Carlos Manuel de Céspedes,0.984375,1.0,1.0,0.921875
Catania,0.9375,0.921875,0.984375,0.953125
Catia La Mar,0.0625,0.828125,0.46875,0.984375
Cebu City,0.953125,1.0,0.953125,1.0
Celje,0.984375,0.9375,1.0,0.984375
Changwon,0.921875,0.96875,0.5,0.984375
Charentsavan,0.984375,0.984375,0.671875,0.984375
Charleroi,0.453125,1.0,0.984375,0.953125
Chelyabinsk,0.859375,0.96875,0.875,0.953125
Chengdu,0.453125,0.984375,0.984375,0.96875
Chennai,0.328125,0.921875,0.984375,0.9375
Chiang Mai,0.921875,0.96875,0.96875,0.984375
Chicago,0.984375,1.0,1.0,0.9375
Chiclayo,0.984375,0.625,0.984375,0.96875
Chimbote,0.328125,0.546875,0.53125,0.953125
Chisinau,0.40625,0.5,1.0,0.96875
Ciudad Guayana,0.265625,0.984375,0.96875,0.96875
Ciudad Nezahualcóyotl,0.0625,0.984375,0.9375,0.96875
Cluj-Napoca,1.0,0.9375,0.984375,0.90625
Coatepeque,0.453125,0.75,0.046875,0.9375
Cobán,0.421875,0.234375,0.09375,0.96875
Cochabamba,0.359375,0.96875,0.984375,0.953125
Comodoro Rivadavia,0.40625,0.21875,0.5,0.984375
Comrat,0.484375,0.859375,0.875,0.953125
Constantine,0.59375,0.984375,0.984375,0.953125
Constanţa,0.609375,0.40625,0.890625,0.96875
Coquimbo,0.0625,0.484375,0.6875,0.9375
Corrientes,0.109375,0.8125,0.96875,0.96875
Craiova,0.875,1.0,1.0,0.953125
Cranbourne,0.65625,0.953125,1.0,0.9375
Cubal,0.5,0.953125,0.96875,0.96875
Cumaná,0.515625,0.46875,0.953125,0.953125
Curitiba,0.90625,0.984375,0.984375,0.96875
Cusco,0.96875,0.984375,0.984375,0.96875
Cúcuta,0.875,0.828125,0.953125,0.96875
Cần Thơ,0.90625,0.90625,0.34375,0.859375
Daegu,0.984375,0.984375,0.984375,0.984375
Daejeon,0.921875,0.890625,0.984375,0.984375
Dar es Salaam,0.6875,0.796875,0.96875,1.0
Dar‘ā,0.6875,0.03125,0.03125,0.9375
Daugavpils,0.421875,0.375,0.453125,0.9375
Davao,0.890625,1.0,0.984375,0.984375
Dayr az Zawr,0.9375,0.953125,0.84375,0.96875
Debrecen,0.734375,0.90625,0.96875,0.953125
Delgado,0.921875,0.984375,0.96875,0.96875
Denov,0.984375,0.953125,0.96875,0.96875
Denver,1.0,1.0,1.0,0.96875
Depok,0.953125,0.875,0.21875,0.96875
Detroit,1.0,1.0,1.0,0.953125
Diffa,0.90625,0.6875,0.921875,0.9375
Djelfa,1.0,1.0,0.96875,0.96875
Dnipro,0.890625,0.96875,0.90625,0.96875
Dobrich,0.921875,0.890625,0.875,0.984375
Dodoma,0.890625,0.953125,0.96875,0.9375
Domžale,0.640625,0.6875,0.640625,0.96875
Dornbirn,0.453125,0.703125,0.515625,0.953125
Dortmund,0.09375,0.984375,0.96875,0.9375
Dosso,0.53125,0.984375,0.984375,0.953125
Drammen,0.375,0.96875,0.921875,0.953125
Dresden,0.890625,0.984375,0.984375,0.9375
Dubăsari,0.984375,0.984375,1.0,0.96875
Duisburg,0.90625,1.0,0.921875,0.9375
Durban,0.828125,1.0,0.984375,0.953125
Durrës,0.828125,0.84375,0.953125,0.984375
Düsseldorf,0.8125,0.875,0.984375,0.96875
East London,0.9375,1.0,0.96875,0.984375
Ecatepec,0.875,0.34375,0.859375,0.96875
Edinburgh,0.921875,1.0,0.984375,0.9375
Eindhoven,0.25,0.9375,0.984375,0.96875
Ejmiatsin,0.625,0.9375,0.96875,0.953125
El Kelaa des Srarhna,0.96875,1.0,0.96875,0.96875
Elbasan,0.375,0.421875,0.9375,0.96875
Elche,0.46875,1.0,0.984375,0.953125
Eldoret,0.34375,0.34375,0.09375,0.953125
Eloy Alfaro,0.9375,1.0,1.0,0.953125
Entebbe,0.359375,0.796875,0.9375,0.96875
Esmeraldas,0.453125,0.265625,0.1875,0.953125
Espoo,0.890625,1.0,0.953125,0.9375
Essen,0.796875,1.0,0.9375,0.96875
Eşfahān,0.0625,0.203125,0.484375,0.953125
