name,score_sm,score_md,score_lg,score_trf
Afghanistan,0.9874213836477987,0.9811320754716981,0.9811320754716981,1.0
Albania,0.9937106918238994,0.9811320754716981,0.9811320754716981,1.0
Algeria,1.0,0.9937106918238994,0.9937106918238994,1.0
Angola,0.949685534591195,0.9937106918238994,0.9874213836477987,0.9937106918238994
Antarctica,0.9748427672955975,0.9622641509433962,0.9685534591194969,0.9748427672955975
Argentina,0.9874213836477987,0.9811320754716981,0.9874213836477987,0.9937106918238994
Armenia,0.9748427672955975,0.9874213836477987,0.9874213836477987,0.9937106918238994
Australia,0.9874213836477987,0.9874213836477987,0.9811320754716981,1.0
Austria,1.0,0.9811320754716981,0.9811320754716981,1.0
Azerbaijan,0.9748427672955975,0.9874213836477987,0.9748427672955975,1.0
Bahamas,0.9874213836477987,0.9874213836477987,0.9811320754716981,1.0
Bangladesh,0.9433962264150944,0.9874213836477987,0.9748427672955975,1.0
Belarus,0.9622641509433962,0.9811320754716981,0.9874213836477987,1.0
Belgium,0.9685534591194969,0.9811320754716981,0.9748427672955975,1.0
Belize,0.5408805031446541,0.9874213836477987,0.9937106918238994,0.9937106918238994
Benin,0.9748427672955975,0.9748427672955975,0.9811320754716981,0.9937106918238994
Bhutan,0.9433962264150944,0.9811320754716981,0.9937106918238994,1.0
Bolivia,0.9937106918238994,0.9748427672955975,0.9937106918238994,1.0
Bosnia and Herz.,0.0,0.0,0.0,0.6226415094339622
Botswana,0.9308176100628931,0.9056603773584906,0.9685534591194969,1.0
Brazil,0.9874213836477987,0.9559748427672956,0.9811320754716981,1.0
Brunei,0.9685534591194969,0.9874213836477987,0.9874213836477987,1.0
Bulgaria,1.0,0.9811320754716981,0.9937106918238994,1.0
Burkina Faso,0.949685534591195,0.9811320754716981,0.9119496855345912,0.9874213836477987
Burundi,0.9685534591194969,0.9748427672955975,0.9874213836477987,1.0
Cambodia,0.9937106918238994,0.9811320754716981,0.9748427672955975,0.9937106918238994
Cameroon,0.9559748427672956,0.9874213836477987,0.9748427672955975,0.9433962264150944
Canada,0.9937106918238994,0.9748427672955975,0.9874213836477987,0.9937106918238994
Central African Rep.,0.006289308176100629,0.018867924528301886,0.03773584905660377,0.6918238993710691
Chad,0.9685534591194969,0.9685534591194969,0.9748427672955975,0.9874213836477987
Chile,0.9433962264150944,0.9685534591194969,0.9685534591194969,1.0
China,0.9874213836477987,0.9622641509433962,0.9811320754716981,1.0
Colombia,1.0,0.9811320754716981,0.9748427672955975,1.0
Congo,0.9937106918238994,0.9811320754716981,0.9622641509433962,1.0
